TimeGenerated [UTC],ClientIp,HttpMethod,RequestUri,UserAgent,HttpStatus,HttpVersion,ReceivedBytes,SentBytes,ClientResponseTime,SslProtocol,OriginalRequestUriWithArgs
"1/29/2026, 5:44:10.000 AM",121.158.115.86,GET,/event/banner/mir2/popup,MyThreadedApp/1.0,200,HTTP/1.1,176,1138,0,TLSv1.2,/event/banner/mir2/popup
"1/29/2026, 5:44:10.000 AM",61.38.42.234,GET,/bbs/list/mir2free,python-requests/2.25.1,200,HTTP/1.1,167,6023,0,TLSv1.3,/bbs/list/mir2free
"1/29/2026, 5:44:10.000 AM",112.144.4.88,GET,/assets/Dormancy-D5QIuaVf.css,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",200,HTTP/1.1,2594,2653,0,TLSv1.3,/assets/Dormancy-D5QIuaVf.css
"1/29/2026, 5:44:10.000 AM",112.144.4.88,GET,/assets/Certification-DR2OXUGd.js,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",200,HTTP/1.1,2524,2145,0,TLSv1.3,/assets/Certification-DR2OXUGd.js
"1/29/2026, 5:44:10.000 AM",112.144.4.88,GET,/assets/M_Dormancy-BCv5Ajmt.js,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",200,HTTP/1.1,2521,5519,0,TLSv1.3,/assets/M_Dormancy-BCv5Ajmt.js
"1/29/2026, 5:44:10.000 AM",112.144.4.88,POST,/memsec/dormancy/getDormancy,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",200,HTTP/1.1,3227,999,0.001,TLSv1.3,/memsec/dormancy/getDormancy
"1/29/2026, 5:44:10.000 AM",211.178.107.103,GET,/event/banner/mir2/popup,MyThreadedApp/1.0,200,HTTP/1.1,176,1138,0,TLSv1.2,/event/banner/mir2/popup
"1/29/2026, 5:44:11.000 AM",61.38.42.234,GET,/bbs/list/mir2test,python-requests/2.25.1,200,HTTP/1.1,167,6454,0,TLSv1.3,/bbs/list/mir2test
"1/29/2026, 5:44:11.000 AM",61.38.42.234,GET,/community/com_free_list.asp,python-requests/2.25.1,200,HTTP/1.1,178,69054,0,TLSv1.3,/community/com_free_list.asp
"1/29/2026, 5:44:11.000 AM",20.249.183.75,GET,/event/echo/getMessage,Blackbox Exporter/0.24.0,200,HTTP/1.1,127,933,0,TLSv1.3,/event/echo/getMessage
